name,state,region,inst_type,control,for_profit,adm_rate,undergrads,mdn_debt,mdn_earn
The Evergreen State College,WA,Far West,Four-year undergraduate,Public,No,0.9838,2053,19089,40782
The University of Alabama,AL,Southeast,Four-year undergraduate,Public,No,0.8039,30610,23072,52751
The University of Texas at Arlington,TX,Southwest,Four-year undergraduate,Public,No,0.8775,34726,18166,54633
The University of Texas at El Paso,TX,Southwest,Four-year undergraduate,Public,No,0.9997,21070,18460,44770
University of Alaska Fairbanks,AK,Far West,Four-year undergraduate,Public,No,0.6701,4259,19582,43728
University of Alaska Southeast,AK,Far West,Four-year undergraduate,Public,No,0.6352,1063,20000,40727
University of Baltimore,MD,Mid East,Four-year undergraduate,Public,No,0.7993,1856,22956,58128
University of Connecticut-Hartford Campus,CT,New England,NA,Public,No,0.9616,1659,21500,72460
University of Florida,FL,Southeast,Four-year undergraduate,Public,No,0.3113,34237,15580,64463
University of Hawaii-West Oahu,HI,Far West,Four-year undergraduate,Public,No,0.9523,2755,15453,48268
University of Maine at Farmington,ME,New England,Four-year undergraduate,Public,No,0.9461,1509,24499,35051
University of Massachusetts-Amherst,MA,New England,Four-year undergraduate,Public,No,0.6532,23884,23149,62048
University of Minnesota-Duluth,MN,Plains,Four-year undergraduate,Public,No,0.7855,8351,22514,54750
University of Missouri-Kansas City,MO,Plains,Four-year undergraduate,Public,No,0.6301,7077,18751,52279
University of Nebraska-Lincoln,NE,Plains,Four-year undergraduate,Public,No,0.7774,20128,21362,52360
University of North Carolina at Chapel Hill,NC,Southeast,Four-year undergraduate,Public,No,0.25,19261,14500,61915
University of North Florida,FL,Southeast,Four-year undergraduate,Public,No,0.7992,14308,16331,49338
University of Oklahoma-Norman Campus,OK,Southwest,Four-year undergraduate,Public,No,0.8338,21087,20718,57071
University of Wisconsin-River Falls,WI,Great Lakes,Four-year undergraduate,Public,No,0.7685,5238,20500,47441
University of Wisconsin-Stevens Point,WI,Great Lakes,Four-year undergraduate,Public,No,0.8654,7258,22140,45855
Utah State University,UT,Rocky Mountains,Four-year undergraduate,Public,No,0.9104,21087,14429,50432
Western Kentucky University,KY,Southeast,Four-year undergraduate,Public,No,0.9775,13086,22500,39268
Western Michigan University,MI,Great Lakes,Four-year undergraduate,Public,No,0.8494,15706,26000,49652
