id,worried
177,Yes
178,Yes
179,Yes
180,Yes
181,Yes
182,Yes
183,Yes
184,Yes
185,Yes
186,Yes
187,Yes
188,Yes
189,Yes
190,Yes
191,Yes
192,Yes
193,Yes
194,Yes
195,Yes
196,Yes
197,Yes
198,Yes
199,Yes
200,Yes
201,Yes
202,Yes
203,Yes
204,Yes
205,Yes
206,Yes
207,Yes
208,Yes
209,Yes
210,Yes
211,Yes
212,Yes
213,Yes
214,Yes
215,Yes
216,Yes
217,Yes
218,Yes
219,Yes
220,Yes
221,Yes
222,Yes
223,Yes
224,Yes
225,Yes
226,Yes
227,Yes
228,Yes
229,Yes
230,Yes
231,Yes
232,Yes
233,Yes
234,Yes
235,Yes
236,Yes
237,Yes
238,Yes
239,Yes
240,Yes
241,Yes
242,Yes
243,Yes
244,Yes
245,Yes
246,Yes
247,Yes
248,Yes
249,Yes
250,Yes
251,Yes
252,Yes
253,Yes
254,Yes
255,Yes
256,Yes
257,Yes
258,Yes
259,Yes
260,Yes
261,Yes
262,Yes
263,Yes
264,Yes
265,Yes
266,Yes
267,Yes
268,Yes
269,Yes
270,Yes
271,Yes
272,Yes
273,Yes
274,Yes
275,Yes
276,Yes
277,Yes
278,Yes
279,Yes
280,Yes
281,Yes
282,Yes
283,Yes
284,Yes
285,Yes
286,Yes
287,Yes
288,Yes
289,Yes
290,Yes
291,Yes
292,Yes
293,Yes
294,Yes
295,Yes
296,Yes
297,Yes
298,Yes
299,Yes
300,Yes
301,Yes
302,Yes
303,Yes
304,Yes
305,Yes
306,Yes
307,Yes
308,Yes
309,Yes
310,Yes
311,Yes
312,Yes
313,Yes
314,Yes
315,Yes
316,Yes
317,Yes
318,Yes
319,Yes
320,Yes
321,Yes
322,Yes
323,Yes
324,Yes
325,Yes
326,Yes
327,Yes
328,Yes
329,Yes
330,Yes
331,Yes
332,Yes
333,Yes
334,Yes
335,Yes
336,Yes
337,Yes
338,Yes
339,Yes
340,Yes
341,Yes
342,Yes
343,Yes
344,Yes
345,Yes
346,Yes
347,Yes
348,Yes
349,Yes
350,Yes
351,Yes
352,Yes
353,Yes
354,Yes
355,Yes
356,Yes
357,Yes
358,Yes
359,Yes
360,Yes
361,Yes
362,Yes
363,Yes
364,Yes
365,Yes
366,Yes
367,Yes
368,Yes
369,Yes
370,Yes
371,Yes
372,Yes
373,Yes
374,Yes
375,Yes
376,Yes
377,Yes
378,Yes
379,Yes
380,Yes
381,Yes
382,Yes
383,Yes
384,Yes
385,Yes
386,Yes
387,Yes
388,Yes
389,Yes
390,Yes
391,Yes
392,Yes
393,Yes
394,Yes
395,Yes
396,Yes
397,Yes
398,Yes
399,Yes
400,Yes
401,Yes
402,Yes
403,Yes
404,Yes
405,Yes
406,Yes
407,Yes
408,Yes
409,Yes
410,Yes
411,Yes
412,Yes
413,Yes
414,Yes
415,Yes
416,Yes
417,Yes
418,Yes
419,Yes
420,Yes
421,Yes
422,Yes
423,Yes
424,Yes
425,Yes
426,Yes
427,Yes
428,Yes
429,Yes
430,Yes
431,Yes
432,Yes
433,Yes
434,Yes
435,Yes
436,Yes
437,Yes
438,Yes
439,Yes
440,Yes
441,Yes
442,Yes
443,Yes
444,Yes
445,Yes
446,Yes
447,Yes
448,Yes
449,Yes
450,Yes
451,Yes
452,Yes
453,Yes
454,Yes
455,Yes
456,Yes
457,Yes
458,Yes
459,Yes
460,Yes
461,Yes
462,Yes
463,Yes
464,Yes
465,Yes
466,Yes
467,Yes
468,Yes
469,Yes
470,Yes
471,Yes
472,Yes
473,Yes
474,Yes
475,Yes
476,Yes
477,Yes
478,Yes
479,Yes
480,Yes
481,Yes
482,Yes
483,Yes
484,Yes
485,Yes
486,Yes
487,Yes
488,Yes
489,Yes
490,Yes
491,Yes
492,Yes
493,Yes
494,Yes
495,Yes
496,Yes
497,Yes
498,Yes
499,Yes
500,Yes
501,Yes
502,Yes
503,Yes
504,Yes
505,Yes
506,Yes
507,Yes
508,Yes
509,Yes
510,Yes
511,Yes
512,Yes
513,Yes
514,Yes
515,Yes
516,Yes
517,Yes
518,Yes
519,Yes
520,Yes
521,Yes
522,Yes
523,Yes
524,Yes
525,Yes
526,Yes
527,Yes
528,Yes
529,Yes
530,Yes
531,Yes
532,Yes
533,Yes
534,Yes
535,Yes
536,Yes
537,Yes
538,Yes
539,Yes
540,Yes
541,Yes
542,Yes
543,Yes
544,Yes
545,Yes
546,Yes
547,Yes
548,Yes
549,Yes
550,Yes
551,Yes
552,Yes
553,Yes
554,Yes
555,Yes
556,Yes
557,No
558,No
559,No
560,No
561,No
562,No
563,No
564,No
565,No
566,No
567,No
568,No
569,No
570,No
571,No
572,No
573,No
574,No
575,No
576,No
577,No
578,No
579,No
580,No
581,No
582,No
583,No
584,No
585,No
586,No
587,No
588,No
589,No
590,No
591,No
592,No
593,No
594,No
595,No
596,No
597,No
598,No
599,No
600,No
601,No
602,No
603,No
604,No
605,No
606,No
607,No
608,No
609,No
610,No
611,No
612,No
613,No
614,No
615,No
616,No
617,No
618,No
619,No
620,No
621,No
622,No
623,No
624,No
625,No
626,No
627,No
628,No
629,No
630,No
631,No
632,No
633,No
634,No
635,No
636,No
637,No
638,No
639,No
640,No
641,No
642,No
643,No
644,No
645,No
646,No
647,No
648,No
649,No
650,No
651,No
652,No
653,No
654,No
655,No
656,No
657,No
658,No
659,No
660,No
661,No
662,No
663,No
664,No
665,No
666,No
667,No
668,No
669,No
670,No
671,No
672,No
673,No
674,No
675,No
676,No
677,No
678,No
679,No
680,No
681,No
682,No
683,No
684,No
685,No
686,No
687,No
688,No
689,No
690,No
691,No
692,No
693,No
694,No
695,No
696,No
697,No
698,No
699,No
700,No
701,No
702,No
703,No
704,No
705,No
706,No
707,No
708,No
709,No
710,No
711,No
712,No
713,No
714,No
715,No
716,No
717,No
718,No
719,No
720,No
721,No
722,No
723,No
724,No
725,No
726,No
727,No
728,No
729,No
730,No
731,No
732,No
733,No
734,No
735,No
736,No
737,No
738,No
739,No
740,No
741,No
742,No
743,No
744,No
745,No
746,No
747,No
748,No
749,No
750,No
751,No
752,No
753,No
754,No
755,No
756,No
757,No
758,No
759,No
760,No
761,No
762,No
763,No
764,No
765,No
766,No
767,No
768,No
769,No
770,No
771,No
772,No
773,No
774,No
775,No
776,No
777,No
778,No
779,No
780,No
781,No
782,No
783,No
784,No
785,No
786,No
787,No
788,No
789,No
790,No
791,No
792,No
793,No
794,No
795,No
796,No
797,No
798,No
799,No
800,No
801,No
802,No
803,No
804,No
805,No
806,No
807,No
808,No
809,No
810,No
811,No
812,No
813,No
814,No
815,No
816,No
817,No
818,No
819,No
820,No
821,No
822,No
823,No
824,No
825,No
826,No
827,No
828,No
829,No
830,No
831,No
832,No
833,No
834,No
835,No
836,No
837,No
838,No
839,No
840,No
841,No
842,No
843,No
844,No
845,No
846,No
847,No
848,No
849,No
850,No
851,No
852,No
853,No
854,No
855,No
856,No
857,No
858,No
859,No
860,No
861,No
862,No
863,No
864,No
865,No
866,No
867,No
868,No
869,No
870,No
871,No
872,No
873,No
874,No
875,No
876,No
877,No
878,No
879,No
880,No
881,No
882,No
883,No
884,No
885,No
886,No
887,No
888,No
889,No
890,No
891,No
892,No
893,No
894,No
895,No
896,No
897,No
898,No
899,No
900,No
901,No
902,No
903,No
904,No
905,No
906,No
907,No
908,No
909,No
910,No
911,No
912,No
913,No
914,No
915,No
916,No
917,No
918,No
919,No
920,No
921,No
922,No
923,No
924,No
925,No
926,No
927,No
928,No
929,No
930,No
931,No
932,No
933,No
934,No
935,No
936,No
937,No
938,No
939,No
940,No
941,No
942,No
943,No
944,No
945,No
946,No
947,No
948,No
949,No
950,No
951,No
952,No
953,No
954,No
955,No
956,No
957,No
958,No
959,No
960,No
961,No
962,No
963,No
964,No
965,No
966,No
967,No
968,No
969,No
970,No
971,No
972,No
973,No
974,No
975,No
976,No
977,No
978,No
979,No
980,No
981,No
982,No
983,No
984,No
985,No
986,No
987,No
988,No
989,No
990,No
991,No
992,No
993,No
994,No
995,No
996,No
997,No
998,No
999,No
1000,No
1001,No
1002,No
1003,No
1004,No
1005,No
1006,No
1007,No
1008,No
1009,No
1010,No
